! | OTHER 9 OTHER: 17
!! | OTHER: 3
!. | OTHER: 1
$ | OTHER: 2
meals | OTHER 1 OTHER: 2
mean | OTHER 2 OTHER: 3
meaning | OTHER 6 OTHER: 2
meanings | OTHER 1
means | OTHER 26 OTHER: 16
meantime | OTHER 5 OTHER: 5
mear | OTHER 1
measure | OTHER 26 OTHER: 6
measurement | OTHER 1
measurements | OTHER 2
measures | OTHER 32 OTHER: 10
meat | OTHER 3 OTHER: 2
meatloaf | OTHER 1
mecca | FACILITY 1
mechanics | PERSON 1 PERSON:Group 2 OTHER 1
mechanised | OTHER 1
mechanism | OTHER 11 OTHER: 1
mechanisms | OTHER 6
med | OTHER 1 OTHER: 1
medal | OTHER 21 OTHER: 2
medalist | PERSON 4
medalists | PERSON 2
medals | OTHER 3 OTHER: 4
media | PERSON 5 ORGANIZATION 34 ORGANIZATION:Media 50 OTHER 23 OTHER: 7
mediation | OTHER 1 OTHER: 1
mediator | PERSON:Individual 1 PERSON 1 GPE:Nation 2
medic | PERSON:Individual 1
medical | OTHER 2
medicare | ORGANIZATION 1
medication | OTHER 6 OTHER: 4
medicine | OTHER 17 OTHER: 2
medicines | OTHER 3
medics | PERSON:Group 1
mediocre | OTHER 1
meditations | OTHER 1
mediterranean | LOCATION:Water-Body 1
medium | FACILITY:Building-Grounds 1 OTHER 11 OTHER: 6
medley | OTHER 1
meet | OTHER: 1
meeting | OTHER 172 OTHER: 75
meetings | OTHER 42 OTHER: 20
megabucks | OTHER: 1
megabyte | OTHER 1
melee | OTHER 1
melin | OTHER 1
melodically | OTHER 1
melodies | OTHER 2
melodrama | OTHER 2
melody | OTHER 1
melon | OTHER 1
meltdown | OTHER 6 OTHER: 1
melting | OTHER 1
member | PERSON:Individual 33 PERSON 72 PERSON:Group 3 GPE:Nation 2 GPE 2 OTHER 3 OTHER: 1
members | ORGANIZATION 3 PERSON:Indeterminate 1 PERSON 176 PERSON:Group 94 GPE:GPE-Cluster 1 GPE:Nation 3 GPE 17 OTHER 1 OTHER: 1
membership | PERSON 1 PERSON:Group 3 OTHER 8 OTHER: 4
memo | OTHER 12 OTHER: 4
memorandum | OTHER 1
memorandums | OTHER 3
memorial | ORGANIZATION 1 FACILITY 9 OTHER 2
memories | OTHER 7 OTHER: 1
memory | OTHER 9 OTHER: 5
men | ORGANIZATION 1 PERSON 182 PERSON:Group 49 OTHER 4 OTHER: 1
men. | PERSON 1
menace | PERSON:Individual 1 OTHER 2
menhaden | OTHER 2
menopause | OTHER 2
menorah | OTHER 2
mentality | OTHER 3 OTHER: 1
mention | OTHER 5 OTHER: 1
mentioned | OTHER: 1
mentions | OTHER 1
mentor | PERSON 2
menu | OTHER 13 OTHER: 1
menus | OTHER 4
mercedes | VEH:Land 1 OTHER 2
merchandise | OTHER 1 OTHER: 1
merchant | ORGANIZATION 4 PERSON 4 OTHER 1
merchants | ORGANIZATION 2 PERSON 7 OTHER 1
mercy | ORGANIZATION:Government 1 OTHER 1 OTHER: 1
merged. . . | OTHER 1
merger | OTHER 27 OTHER: 8
mergers | OTHER 4
merit | OTHER 1
meritocracy | OTHER 1
merits | OTHER 5 OTHER: 3
mers | OTHER: 1
mes | OTHER: 1
mess | OTHER 11 OTHER: 3
message | OTHER 68 OTHER: 26
messages | OTHER 31 OTHER: 3
messaging | OTHER 4
messenger | PERSON 1
metal | OTHER 10 OTHER: 8
metallic | OTHER 1
metallurgy | OTHER 1
metals | OTHER 6
metaphor | OTHER 1
meteorologists | PERSON 2
meteors | OTHER 1
meter | OTHER 4 OTHER: 1
meters | OTHER 16 OTHER: 4
methane | OTHER 1
method | OTHER 16 OTHER: 3
methods | OTHER 12 OTHER: 1
metrics | OTHER 1
metropolis | GPE 1
mice | OTHER 6
mich... | OTHER: 1
michelle | PERSON:Individual 2
mickey | PERSON:Individual 3
microbe | OTHER 2
microbiologist | PERSON:Individual 2
microbrews | OTHER: 1
microorganisms | OTHER 1
microphone | OTHER 2
microphones | OTHER 2 OTHER: 1
micropreemies | PERSON 1
microprocessor | OTHER 1
microprocessors | OTHER 1
mid | OTHER 5 OTHER: 5
midafternoon | OTHER 1
midair | OTHER 1
midday | OTHER 6 OTHER: 2
middle | GPE:GPE-Cluster 18 GPE 2 LOCATION:Region-General 2 LOCATION 7 OTHER 32 OTHER: 6
middlemen | PERSON 1 PERSON:Group 1
mideast | LOCATION 3 OTHER 1
midfielder | PERSON:Individual 1
midnight | OTHER 15 OTHER: 3
midpoint | OTHER 1
midsection | LOCATION 1 OTHER 1
midst | OTHER 9
midweek | OTHER 1
midwest | LOCATION 1
midwesterner | PERSON 1
midwife | PERSON:Individual 1
mig | VEH:Air 1 OTHER 1
migrants | PERSON 1
migration | OTHER 3
migs | VEH:Air 1
mike | PERSON:Individual 72 PERSON 13 OTHER 2 OTHER: 1
mil | OTHER: 9
mile | OTHER 23 OTHER: 2
mileage | OTHER 1
miles | PERSON:Individual 7 LOCATION 2 OTHER 99 OTHER: 64
milestone | OTHER 2
mili | OTHER: 1
milieu | OTHER 2
militancy | OTHER: 1
militant | PERSON:Individual 3 PERSON 1
militants | PERSON 7 PERSON:Group 12
militaries | ORGANIZATION:Government 1 ORGANIZATION 1
militarization | OTHER 1
military | PERSON 1 ORGANIZATION:Government 35 ORGANIZATION 55 GPE 2 OTHER 1
military. | ORGANIZATION 1
militia | PERSON:Group 5 ORGANIZATION:Non-Governmental 1 ORGANIZATION 3 OTHER 3 OTHER: 1
militiamen | PERSON:Group 2
militias | PERSON 1
milk | OTHER 7 OTHER: 2
mill | ORGANIZATION 1 FACILITY 2 OTHER: 1
millenium | OTHER: 1
millennium | OTHER 25 OTHER: 2
miller | PERSON:Individual 3 OTHER: 1
millimeter | OTHER: 5
millimeters | OTHER 1
millimetre | OTHER: 1
million | PERSON:Group 1 OTHER 5
millionaire | PERSON 5 OTHER 7
millions | PERSON 10 PERSON:Group 2 LOCATION 1 OTHER 43 OTHER: 15
mimi | PERSON:Individual 2
mimicked | OTHER 1
mind | OTHER 33 OTHER: 17
mindedness | OTHER: 1
minders | OTHER 1
minds | PERSON 1 OTHER 12 OTHER: 5
mindset | OTHER 1 OTHER: 1
mine | PERSON:Individual 6 PERSON 1 WEA:Exploding 2 OTHER 10
mineral | OTHER: 1
minerals | OTHER 1 OTHER: 1
miners | PERSON 2
mines | FACILITY 1 LOCATION:Land-Region-Natural 1 WEA:Exploding 5 WEA 1 OTHER 2
miniature | OTHER 1
minimization | OTHER: 1
minimum | OTHER 4 OTHER: 4
mining | OTHER 4 OTHER: 2
minions | PERSON:Group 1
minister | ORGANIZATION 1 PERSON:Individual 50 PERSON 98 OTHER 46 OTHER: 2
ministers | PERSON 22 PERSON:Group 8
ministries | ORGANIZATION:Government 2 ORGANIZATION 9
ministry | ORGANIZATION:Government 7 ORGANIZATION 9 ORGANIZATION:Religious 1 FACILITY 3 OTHER 3
mink | OTHER 1
minor | PERSON:Individual 4
minorites | PERSON:Group 1
minorities | PERSON 2 PERSON:Group 2
minority | ORGANIZATION 1 PERSON 10 PERSON:Group 5 OTHER 6 OTHER: 3
minors | PERSON:Group 1
minstrel | PERSON 1
minus 40 | OTHER 1
minute | OTHER 16 OTHER: 8
minutes | OTHER 68 OTHER: 31
miracle | OTHER 3 OTHER: 6
miracles | OTHER 1 OTHER: 1
miraculous | OTHER: 1
mirror | OTHER: 1
mirrors | OTHER 2
mischaracterization | OTHER 1
mischief | OTHER 2
miscommunication | OTHER 1
misconduct | OTHER 5 OTHER: 1
misdemeanor | OTHER 3 OTHER: 3
misery | OTHER 1 OTHER: 2
misfire | OTHER 1
misfit | OTHER: 1
misfortune | OTHER: 1
mishap | OTHER 1 OTHER: 2
mishaps | OTHER 1
mishmash | ORGANIZATION 1
misinformation | OTHER 2
misjudgment | OTHER: 1
misled | OTHER 1
mismanagement | OTHER 3 OTHER: 1
misprint | OTHER 1
misrepresentation | OTHER: 1
miss | PERSON 8 OTHER 5 OTHER: 2
missile | WEA:Exploding 5 WEA 1 WEA:Projectile 23 OTHER 6
missiles | WEA:Nuclear 3 WEA:Exploding 9 WEA 4 WEA:Projectile 30 OTHER 31
missing | OTHER 1
mission | ORGANIZATION 1 OTHER 50 OTHER: 24
missionaries | PERSON:Group 1
missionary | PERSON 1
missions | OTHER 12 OTHER: 13
missives | OTHER 1
missus | PERSON:Individual 1
mistake | OTHER 17 OTHER: 8
mistakes | OTHER 10 OTHER: 9
mistreatment | OTHER 1
mistress | PERSON:Individual 3 PERSON 2
mistresses | PERSON 1
mistrust | OTHER 2
misunderstanding | OTHER: 1
misuse | OTHER 1
mitten | OTHER 1
mix | OTHER 10 OTHER: 2
mix-up | OTHER 1
mixes | OTHER 1
mixture | OTHER 7
mixture. | OTHER 1
mk | OTHER: 1
mm | OTHER: 18
mo | OTHER: 1
moan | OTHER 1
moans | OTHER 1
mob | ORGANIZATION:Non-Governmental 1 ORGANIZATION 16 PERSON 5 PERSON:Group 4 OTHER 1
mobile | OTHER: 1
mobility | OTHER 3 OTHER: 1
mobster | PERSON 4
mobsters | PERSON 13
mockery | OTHER 2 OTHER: 2
mode | OTHER 2 OTHER: 1
model | PERSON 4 PERSON:Group 2 FACILITY 1 OTHER 17 OTHER: 4
modeling | OTHER 1
models | ORGANIZATION 1 PERSON 1 PERSON:Group 1 OTHER 5
modem | OTHER 1 OTHER: 1
modems | OTHER 1
moderate | PERSON 3 OTHER: 1
moderates | PERSON 6
moderation | OTHER 5
modernity | OTHER 2
modernization | OTHER 3
modes | OTHER 1
modesto | GPE:Population-Center 1
module | FACILITY 5
modules | FACILITY 1
moguls | PERSON:Group 1
mohammed | PERSON 1
moisture | OTHER 1
mold | OTHER 4
molester | PERSON 1
molesters | PERSON 1
mom | PERSON:Individual 11 PERSON 2 OTHER: 2
moment | OTHER 67 OTHER: 38
moments | OTHER 10 OTHER: 22
momentum | OTHER 8 OTHER: 2
mon | OTHER 1
monarch | PERSON 2
monarchist | PERSON 1
monarchists | PERSON 1
monarchy | ORGANIZATION 2 GPE 1 OTHER 1 OTHER: 3
monastery | ORGANIZATION 1
monday | OTHER 53 OTHER: 68
monday. .. | OTHER: 1
money | ORGANIZATION 1 OTHER 239 OTHER: 93
moneymaker | ORGANIZATION 1
moneys | OTHER: 1
mongering | OTHER 1
monicas | PERSON 1
monitor | PERSON 1 OTHER 1
monitors | PERSON 5 OTHER 1
monk | PERSON 1
monkey | OTHER 2
monkeys | OTHER 8
monolith | OTHER: 1
monologue | OTHER 2
monopolies | ORGANIZATION 2 OTHER 1
monopolization | OTHER 1
monopoly | ORGANIZATION:Commercial 1 ORGANIZATION 1 OTHER 7 OTHER: 1
monoxide | OTHER 1
monster | ORGANIZATION:Commercial 1 OTHER 1 OTHER: 1
month | OTHER 199 OTHER: 57
monthlong | OTHER 1
months | OTHER 207 OTHER: 84
monument | FACILITY:Building-Grounds 1 FACILITY 2 OTHER 1
monuments | FACILITY 1 OTHER 1
mood | OTHER 13 OTHER: 2
moon | LOCATION 1 LOCATION:Celestial 3 OTHER 1
mooted | OTHER: 1
moral | OTHER: 1
morale | OTHER 2 OTHER: 1
morality | OTHER 3 OTHER: 3
morals | OTHER 1
moratorium | OTHER 3
more | ORGANIZATION:Entertainment 1 PERSON 3 PERSON:Group 1 WEA:Nuclear 1 OTHER 64 OTHER: 53
more more | OTHER 1
more than 1 | OTHER 1
more than 1 million | OTHER 1
more than 1,000 | OTHER: 1
more than 100 | OTHER 3
more than 170 | OTHER 1
more than 2,000 | OTHER 3
more than 20 | OTHER 1
more than 200 | OTHER: 1
more than 220 | OTHER 1
more than 3,000 | OTHER 1
more than 30 | OTHER 2
more than 4,000 | OTHER: 1
more than 40 | OTHER: 1
more than 400 | OTHER 1
more than 45 | OTHER: 1
more than 500 | OTHER 1
more than 6000 | OTHER 1
more than 800 | OTHER: 1
more than 835 | OTHER 1
more than five thousand | OTHER 1
more than one | OTHER 1
morgue | FACILITY:Building-Grounds 2
morning | OTHER 111 OTHER: 97
mornings | OTHER 2 OTHER: 2
morocco | GPE 1
morris | OTHER 2
morsel | OTHER: 1
morsels | OTHER 2
mortal | OTHER: 1
mortality | OTHER: 1
mortar | WEA:Shooting 2 WEA:Projectile 1 OTHER: 1
mortars | WEA:Shooting 4 WEA:Exploding 2 WEA:Projectile 1
mortgage | OTHER 1
mortgages | OTHER 2
mosque | FACILITY:Building-Grounds 8 FACILITY 3 OTHER: 2
mosques | ORGANIZATION 1
most | VEH:Water 1 ORGANIZATION:Commercial 1 ORGANIZATION 2 PERSON 40 PERSON:Group 22 GPE:Nation 1 GPE 4 FACILITY:Subarea-Facility 1 FACILITY:Building-Grounds 1 LOCATION 4 OTHER 134 OTHER: 52
motels | FACILITY 1
mother | PERSON:Individual 36 PERSON 52 PERSON:Group 1 OTHER 3 OTHER: 3
mother- in-law | FACILITY:Building-Grounds 1
mother-in-law | PERSON:Individual 1
motherboards | OTHER: 2
mothereffers | OTHER: 1
motherland | GPE 4
mothers | PERSON 11 PERSON:Group 2
motion | OTHER 6 OTHER: 7
motions | OTHER 4 OTHER: 5
motivation | OTHER 3 OTHER: 3
motivations | OTHER 1
motive | OTHER 10 OTHER: 2
motives | OTHER 1 OTHER: 7
motor | ORGANIZATION:Commercial 1 OTHER 2 OTHER: 1
motorbikes | VEH 1
motorcade | VEH:Land 1
motorcycle | VEH 3 VEH:Land 1 OTHER 1 OTHER: 1
motorcycles | VEH 2
motorcyclist | PERSON 1
motorcyclists | PERSON 2
motorists | PERSON 3 OTHER 1
motors | OTHER: 1
motto | OTHER 2 OTHER: 1
mound | OTHER 2
mountain | LOCATION:Land-Region-Natural 1 LOCATION 9 OTHER 3
mountains | LOCATION 3 OTHER: 2
mounts | OTHER 1
mourners | PERSON 4
mouse | OTHER 5
mousetrap | OTHER 2
mousse | OTHER 1
mouth | LOCATION:Water-Body 1 OTHER 2 OTHER: 4
mouthpiece | OTHER 2
mouths | OTHER 2
move | OTHER 72 OTHER: 32
movement | PERSON 1 ORGANIZATION 12 OTHER 31 OTHER: 19
movements | OTHER 4
movers | PERSON 1
moves | OTHER 24 OTHER: 6
movie | OTHER 28 OTHER: 11
moviegoer | PERSON 1
moviegoers | PERSON 2
movies | OTHER 17 OTHER: 6
mowers | OTHER 1
mpg | OTHER: 1
mph | OTHER 5
mr. | PERSON:Individual 35 PERSON 90 OTHER 504 OTHER: 2
mres | OTHER: 1
mrs. | PERSON:Individual 6 PERSON 10 OTHER 31
ms | OTHER 1
ms. | PERSON:Individual 3 PERSON 4 OTHER 88
mt | LOCATION:Land-Region-Natural 2
mtakes | OTHER 1
much | OTHER 4 OTHER: 5
much.. | OTHER: 1
mucilage | OTHER 1
mud | OTHER 4 OTHER: 1
mudslides | OTHER 3
mullahs | PERSON:Group 2
mullens | OTHER 1
multi | GPE 5 OTHER 3 OTHER: 1
multibillion | OTHER 1 OTHER: 1
multimedia | OTHER 1
multinationals | ORGANIZATION 1
multiple | OTHER 1
multiples | OTHER 1
multitudes | VEH:Air 2 OTHER: 2
mummy | PERSON 1 PERSON:Group 1
municipality | GPE 1 OTHER 1 OTHER: 1
munitions | WEA:Underspecified 1 OTHER: 1
mural | OTHER: 1
murder | OTHER 63 OTHER: 28
murderer | PERSON:Individual 3 PERSON 3
murderers | PERSON 1
murders | OTHER 37 OTHER: 4
murk | OTHER 1
murmur | OTHER 1
muscle | OTHER 7 OTHER: 2
muscles | OTHER 1 OTHER: 1
muscovites | PERSON 2
museum | ORGANIZATION 6 ORGANIZATION:Educational 3 FACILITY:Building-Grounds 3 FACILITY 6 OTHER: 3
museums | ORGANIZATION:Non-Governmental 1 ORGANIZATION 1 FACILITY:Building-Grounds 1 FACILITY 9
musher | PERSON 1
mushers | PERSON 1
mushroom | OTHER 1
mushrooms | OTHER 4
music | OTHER 77 OTHER: 22
musical | OTHER 7
musicals | OTHER 4
musician | PERSON 1
musicians | PERSON 4 PERSON:Group 2 OTHER 1
musicologist | PERSON 1
musings | OTHER 1
muslims | PERSON 1 PERSON:Group 2
muslin | OTHER 2
must | OTHER 1
mustache | OTHER 1 OTHER: 1
mutation | OTHER 1
mutilations | OTHER 1
mutinies | OTHER 1
muz | OTHER: 1
muzzle | OTHER: 1
myriad | OTHER 1
mystery | OTHER 7 OTHER: 4
myth | OTHER: 1
mythology | OTHER 2
myths | OTHER 1 OTHER: 2
n | OTHER 4 OTHER: 4
n.b.a | ORGANIZATION 2
n.b.a. | ORGANIZATION 2
n.f.l. | ORGANIZATION 1
n2k | ORGANIZATION 1
na | OTHER: 1
naacp | ORGANIZATION 1
nader | PERSON 2
nadir | OTHER: 1
naed | OTHER: 1
nah | OTHER: 1
nail | OTHER: 1
name | PERSON 1 ORGANIZATION 1 OTHER 85 OTHER: 76
names | PERSON 1 PERSON:Group 1 OTHER 34 OTHER: 10
namesake | PERSON:Individual 2 OTHER 2
nannies | PERSON:Group 1
nanny | PERSON:Individual 1 PERSON:Group 1
nanosecond | OTHER: 1
nanotechnology | OTHER: 1
napkin | OTHER 2
narateor | PERSON:Individual 1
narcicists | PERSON:Individual 1
narcotic | OTHER: 1
narcotics | OTHER 2
narrative | OTHER: 2
nasdaq | OTHER 1
nasheva | PERSON 1
nasiriyah | GPE:Population-Center 3
natalie | PERSON:Individual 1
natio | OTHER: 1
nation | GPE:Nation 30 GPE 174 LOCATION 1 OTHER 5 OTHER: 3
national | ORGANIZATION 4 ORGANIZATION:Media 2 PERSON:Individual 1 PERSON 1 OTHER 2 OTHER: 7
nationalism | OTHER 3 OTHER: 1
nationalist | OTHER 2
nationalists | PERSON 7
nationalities | OTHER 1 OTHER: 1
nationality | OTHER 2
nationalization | OTHER 1 OTHER: 1
nationals | PERSON 9 PERSON:Group 1
nations | GPE:GPE-Cluster 1 GPE:Nation 12 GPE 64 OTHER 5 OTHER: 13
native | PERSON:Individual 1 PERSON 6 OTHER 2 OTHER: 1
natural | PERSON 1
nature | OTHER 23 OTHER: 5
naught | OTHER 1
navies | ORGANIZATION 5
navigation | OTHER 2
navy | ORGANIZATION:Government 12 ORGANIZATION 14 OTHER 5
nazies | ORGANIZATION 1
nba | ORGANIZATION:Sports 3
nbc. | ORGANIZATION 1
neal | OTHER: 1
near | OTHER 1 OTHER: 1
nearby | OTHER 1 OTHER: 1
nearly 500 | OTHER 1
nearly 8 | OTHER: 1
nearly dlrs 2.2 billion | OTHER 1
nearly four | OTHER 1
nearly one | OTHER 1
nearly three hundred | OTHER 1
nearness | OTHER 1
necessities | OTHER 2
necessity | OTHER 2 OTHER: 1
neck | OTHER 9 OTHER: 1
necks | OTHER 1
nectarine | OTHER 1
need | OTHER 48 OTHER: 16
needle | OTHER 1
needs | OTHER 17 OTHER: 1
negative | OTHER 1 OTHER: 1
negatives | PERSON 1 OTHER: 1
neglect | OTHER 1
negligence | OTHER 2 OTHER: 1
negotiants | PERSON:Group 1
negotiation | OTHER 12 OTHER: 2
negotiations | OTHER 70 OTHER: 8
negotiator | PERSON:Individual 1 PERSON 8 OTHER 2
negotiators | PERSON 12 PERSON:Group 1
neigh | OTHER 2
neighbor | PERSON:Individual 5 PERSON 5 GPE:Nation 3 GPE 5
neighborhood | GPE:Population-Center 6 LOCATION:Region-General 7 LOCATION 13 OTHER 1 OTHER: 2
neighborhoods | LOCATION 7
neighbors | ORGANIZATION 1 PERSON 6 PERSON:Group 8 GPE 9
neighbour | GPE:Nation 1
neighbours | GPE 1
neither | PERSON:Individual 1 OTHER 3 OTHER: 1
neo | PERSON 4 ORGANIZATION 2 OTHER: 3
neon | OTHER 1
neonatalogist | PERSON 1
nephew | PERSON:Individual 1
nephews | PERSON:Group 2
nephrologist | PERSON 1
nerve | OTHER 4 OTHER: 6
nerves | OTHER: 1
nervousness | OTHER 1
nest | OTHER: 1
net | OTHER 30 OTHER: 4
netiquette | OTHER 1
netting | OTHER: 1
network | PERSON 2 ORGANIZATION:Non-Governmental 4 ORGANIZATION 36 ORGANIZATION:Entertainment 1 ORGANIZATION:Media 8 FACILITY 4 OTHER 31 OTHER: 4
networker | PERSON 1
networks | ORGANIZATION:Non-Governmental 2 ORGANIZATION 14 FACILITY 2 OTHER 8 OTHER: 1
neurobiology | OTHER 1
neurons | OTHER 4
neuropsychology | OTHER 1
neutral | OTHER: 1
neutrality | OTHER 1 OTHER: 4
neutralized | OTHER 1
new | OTHER 13 OTHER: 8
new . . . | OTHER 1
newborns | PERSON 1
newcomer | ORGANIZATION 1
newcomers | OTHER 2
newer | OTHER 1
newest | OTHER 2 OTHER: 1
news | ORGANIZATION:Media 6 OTHER 219 OTHER: 113
newsagent | ORGANIZATION:Commercial 1
newscast | OTHER 3 OTHER: 1
newsdesk | FACILITY 1 OTHER 1
newsgroup | PERSON:Group 1 OTHER: 2
newsletter | ORGANIZATION 1 OTHER: 1
newsmagazine | ORGANIZATION 1 OTHER 2
newsmaker | PERSON 1
newsman | PERSON 3
newspaper | ORGANIZATION 28 ORGANIZATION:Media 10 OTHER 7 OTHER: 8
newspapers | ORGANIZATION 23 ORGANIZATION:Media 3 OTHER 4 OTHER: 1
newsroom | FACILITY 1
newsstand | OTHER: 1
newsstands | FACILITY:Building-Grounds 1
nex | OTHER 1
next | LOCATION 1 OTHER 19 OTHER: 3
next.. | OTHER: 1
ng | OTHER: 1
nick | PERSON:Individual 3
nickel | OTHER 1 OTHER: 1
nickelodeon | OTHER 1
nickname | OTHER 2
nicole | PERSON 1
nicotine | OTHER 4
niece | PERSON:Individual 3 PERSON 1
nigerians | PERSON 3 PERSON:Group 1 GPE 1
night | OTHER 187 OTHER: 80
night-time | OTHER: 1
nightclub | ORGANIZATION 1 FACILITY 1
nightclubs | ORGANIZATION 2 FACILITY 2
nightfall | OTHER 4
nightmare | OTHER 5 OTHER: 5
nights | OTHER 9 OTHER: 5
nightstand | OTHER: 1
nighttime | OTHER: 1
nine | PERSON:Group 1 OTHER 8 OTHER: 9
nine a.m. | OTHER: 2
nine eleven | OTHER: 5
nine one one | OTHER 2
nine two | OTHER 1
nines | OTHER: 1
nineteen | OTHER 6
nineteen eighty | OTHER 1
nineteen eighty-seven | OTHER 1
nineteen fifty two | OTHER 1
nineteen fifty-nine | OTHER 1
nineteen fifty-six | OTHER 1
nineteen forty eight | OTHER: 1
nineteen forty nine | OTHER: 1
nineteen hundred | OTHER 1
nineteen ninety | OTHER 1
nineteen ninety-five | OTHER 1
nineteen ninety-four | OTHER 3
nineteen ninety-nine | OTHER 3
nineteen ninety-one | OTHER 1
nineteen ninety-six | OTHER 2
nineteen seventy four | OTHER 1
nineteen seventy-four | OTHER 1
nineteen seventy-nine | OTHER 1
nineteen sixty four | OTHER 3
nineteen thirty seven | OTHER 1
nineteen twelve | OTHER 1
nineteen twenty-one | OTHER 1
nineties | OTHER 1
ninety eighty-eight | OTHER 1
ninety nine | OTHER 1
ninety-eight | OTHER 1
ninety-one seventy | OTHER 1
ninety-six | OTHER 1
ninety-two | OTHER 1
nipples | OTHER 1
nitpicker | PERSON:Individual 1
nitrate | OTHER 2
nitrogen | OTHER 1 OTHER: 1
nlrb | ORGANIZATION:Government 1
no. | ORGANIZATION 1 PERSON 2 OTHER 33 OTHER: 5
no. 225 | OTHER 1
nod | OTHER 2 OTHER: 2
nodes | OTHER 2
nods | OTHER 1
noise | OTHER 4 OTHER: 3
nominated | OTHER 1
nomination | OTHER 28 OTHER: 2
nominations | OTHER 12 OTHER: 1
nominee | PERSON 14
nominees | PERSON 2 OTHER 1
nominees. | PERSON 1
non | ORGANIZATION:Non-Governmental 2 PERSON:Individual 1 PERSON 2 PERSON:Group 1 OTHER 4 OTHER: 16
nonaggression | OTHER: 4
noncompliance | OTHER 1
none | PERSON 1
nonetheless | OTHER 1
nonissue | OTHER 1
nonparticipant | OTHER: 1
nonpartisan | OTHER 1
nonproliferation | OTHER 1
nonresponsive | OTHER 1
nonsense | OTHER 6 OTHER: 1
nonsigners | GPE 1
nonskiers | PERSON 1
nonstop | OTHER 1
nonviolence | OTHER 1
nook | OTHER 1
noon | OTHER 5 OTHER: 6
noose | OTHER: 3
norgay | PERSON:Individual 1
norm | OTHER: 3
normalcy | OTHER 1
normalization | OTHER 2 OTHER: 2
north | GPE:Nation 20 GPE:Continent 1 GPE:State-or-Province 2 GPE 6 LOCATION:Region-General 10 LOCATION 9 OTHER 10 OTHER: 13
northeast | LOCATION:Region-General 1 LOCATION 6 OTHER 2
northern | OTHER 2
northwest | ORGANIZATION 1 LOCATION 2 OTHER: 3
norwegians | PERSON 1
nose | OTHER 5 OTHER: 5
nosedive | OTHER: 1
noses | OTHER: 1
nostalgia | OTHER 1 OTHER: 1
not. | OTHER: 1
not.. .. | OTHER 1
notable | OTHER: 1
notch | OTHER 1
note | OTHER 50 OTHER: 10
notebooks | OTHER: 1
notepad | OTHER 1
notes | OTHER 17 OTHER: 9
nothing. | OTHER: 1
notice | OTHER 11 OTHER: 1
notification | OTHER: 1
notion | OTHER 8 OTHER: 2
notions | OTHER 2
notoriety | OTHER 2
notorious | OTHER: 1
nourishment | OTHER 1
nov. | OTHER 38
novel | OTHER 2 OTHER: 3
novelist | PERSON:Individual 1 PERSON 2
novels | OTHER 1 OTHER: 2
novelty | OTHER 2 OTHER: 1
november | OTHER 28 OTHER: 16
novices | PERSON:Group 1
now. . . . | OTHER: 1
nppingtses | OTHER 1
ntially | OTHER: 1
nuance | OTHER: 1
nuclear | WEA:Nuclear 1
nudist | PERSON 1
nudity | OTHER 1
nuggets | OTHER: 1
nuissance | PERSON:Individual 1
nuke | WEA:Nuclear 2 OTHER 1
nuked....to | OTHER: 1
nukes | WEA:Nuclear 3
nullified | OTHER 1
nullity | OTHER 1
number | ORGANIZATION:Non-Governmental 1 ORGANIZATION 9 PERSON:Individual 2 PERSON 27 PERSON:Group 1 GPE:State-or-Province 1 GPE 4 FACILITY 3 WEA:Nuclear 1 OTHER 194 OTHER: 63
numbers | PERSON 2 PERSON:Group 1 OTHER 59 OTHER: 18
numerals | OTHER 1
nun | PERSON 1
nuptials | OTHER: 1
nurse | PERSON:Indeterminate 1 PERSON:Individual 4 PERSON 2 OTHER: 1
nurseries | OTHER 1
nurses | PERSON 4 PERSON:Group 1
nurturers | PERSON 1
nut | PERSON:Individual 1 OTHER: 1
nutcrackers | OTHER 1
nuthouse | ORGANIZATION:Commercial 1
nutmeg | OTHER 1
nutriments | OTHER 1
nutrition | OTHER 3
nutritionists | PERSON 2
nuts | OTHER 3
nv. i... | OTHER: 1
o | PERSON:Individual 2 OTHER 6 OTHER: 1
oasis | GPE 1 FACILITY 1
oath | OTHER 16 OTHER: 1
oats | OTHER 3
obedience | OTHER 1
